DATE,T5YIE
2003/1/1,1.398095238
2003/2/1,1.654210526
2003/3/1,1.695238095
2003/4/1,1.568571429
2003/5/1,1.336666667
2003/6/1,1.358571429
2003/7/1,1.568181818
2003/8/1,1.886666667
2003/9/1,1.893333333
2003/10/1,1.978181818
2003/11/1,2.017222222
2003/12/1,2.039545455
2004/1/1,2.0355
2004/2/1,2.21
2004/3/1,2.27173913
2004/4/1,2.373809524
2004/5/1,2.5125
2004/6/1,2.521904762
2004/7/1,2.397619048
2004/8/1,2.351363636
2004/9/1,2.252380952
2004/10/1,2.373
2004/11/1,2.6215
2004/12/1,2.674545455
2005/1/1,2.578
2005/2/1,2.683157895
2005/3/1,2.876818182
2005/4/1,2.77
2005/5/1,2.574761905
2005/6/1,2.381363636
2005/7/1,2.3095
2005/8/1,2.412173913
2005/9/1,2.610952381
2005/10/1,2.633
2005/11/1,2.479
2005/12/1,2.307142857
2006/1/1,2.413
2006/2/1,2.592105263
2006/3/1,2.624347826
2006/4/1,2.642105263
2006/5/1,2.694090909
2006/6/1,2.615454545
2006/7/1,2.5845
2006/8/1,2.554782609
2006/9/1,2.2905
2006/10/1,2.176190476
2006/11/1,2.174285714
2006/12/1,2.25
2007/1/1,2.28047619
2007/2/1,2.369473684
2007/3/1,2.441818182
2007/4/1,2.477142857
2007/5/1,2.377727273
2007/6/1,2.372380952
2007/7/1,2.289047619
2007/8/1,2.043913043
2007/9/1,2.056315789
2007/10/1,2.191363636
2007/11/1,2.3145
2007/12/1,2.2155
2008/1/1,2.122857143
2008/2/1,2.131
2008/3/1,2.256
2008/4/1,2.225909091
2008/5/1,2.36047619
2008/6/1,2.516190476
2008/7/1,2.462727273
2008/8/1,1.993809524
2008/9/1,1.330952381
2008/10/1,-0.027727273
2008/11/1,-1.398888889
2008/12/1,-0.24
2009/1/1,0.0115
2009/2/1,0.582105263
2009/3/1,0.588636364
2009/4/1,0.747619048
2009/5/1,1.063
2009/6/1,1.525909091
2009/7/1,1.284090909
2009/8/1,1.281428571
2009/9/1,1.343333333
2009/10/1,1.50047619
2009/11/1,1.746315789
2009/12/1,1.908636364
2010/1/1,2.066315789
2010/2/1,1.947894737
2010/3/1,1.87173913
2010/4/1,1.960909091
2010/5/1,1.7705
2010/6/1,1.651818182
2010/7/1,1.422380952
2010/8/1,1.336363636
2010/9/1,1.279047619
2010/10/1,1.507
2010/11/1,1.5555
2010/12/1,1.729545455
2011/1/1,1.9305
2011/2/1,2.011052632
2011/3/1,2.20173913
2011/4/1,2.3115
